Eventtime [m]; Client 0 Treppe LStB
0,49; 61,237
1,58; 125
2,442; 180,278
3; 250
3,48; 250
3,96; 250
4,4; 300
4,771; 346,41
5,1; 375
5,42; 375
5,74; 375
6,059; 382,426
6,359; 419,821
6,633; 454,148
6,888; 486,056
7,13; 500
7,37; 500
7,61; 500
7,85; 500
8,094; 452,769
8,417; 291,548

Eventtime [m]; Client 0 Treppe UStVA
1,16; 250
1,4; 250
2,114; 278,388
2,311; 327,872
2,778; 444,41
2,908; 476,97
3,27; 500
3,39; 500
3,75; 500
3,87; 500
4,218; 554,527
4,324; 580,948
4,615; 653,835
4,706; 676,387
4,96; 739,932
5,04; 750
5,28; 750
5,36; 750
5,6; 750
5,68; 750
5,92; 750
6; 750
6,231; 807,775
6,305; 826,136
6,516; 878,92
6,583; 895,824
6,779; 944,722
6,842; 960,469
7,025; 1.000
7,085; 1.000
7,265; 1.000
7,325; 1.000
7,505; 1.000
7,565; 1.000
7,745; 1.000
7,805; 1.000
7,985; 1.000
8,046; 953,939
8,258; 741,62
8,344; 655,744

Eventtime [m]; Client 1 Treppe LStB
1,1; 125
2,058; 132,288
2,744; 217,945
3,24; 250
3,72; 250
4,191; 273,861
4,592; 324,037
4,939; 367,423
5,26; 375
5,58; 375
5,9; 375
6,212; 401,559
6,499; 437,321
6,763; 470,372
7,01; 500
7,25; 500
7,49; 500
7,73; 500
7,97; 500
8,238; 380,789

Eventtime [m]; Client 1 Treppe UStVA
0,6; 150
0,917; 229,129
1,64; 250
1,88; 250
2,483; 370,81
2,637; 409,268
3,03; 500
3,15; 500
3,51; 500
3,63; 500
3,99; 500
4,107; 526,783
4,425; 606,218
4,522; 630,476
4,793; 698,212
4,877; 719,375
5,12; 750
5,2; 750
5,44; 750
5,52; 750
5,76; 750
5,84; 750
6,079; 769,74
6,156; 788,987
6,376; 844,097
6,447; 861,684
6,65; 912,414
6,715; 928,709
6,904; 975,961
6,965; 991,211
7,145; 1.000
7,205; 1.000
7,385; 1.000
7,445; 1.000
7,625; 1.000
7,685; 1.000
7,865; 1.000
7,925; 1.000
8,111; 888,819
8,181; 818,535
8,443; 556,776
8,564; 435,89
8,735; 264,575

